"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"a82538f5-e84b-32e8-9a49-2872b563d583","Parasite",2019,"https://www.rottentomatoes.com/m/parasite_2019",1,"99%","90%"
"744d4aea-e6ad-3c9a-9723-ee9b10505b98","Casablanca",1942,"https://www.rottentomatoes.com/m/1003707-casablanca",2,"99%","95%"
"2becdd54-961d-384e-90c6-3ce9852d658f","All About Eve",1950,"https://www.rottentomatoes.com/m/1000626-all_about_eve",3,"99%","94%"
"065fb5ae-802f-39c0-bd91-8e8757e53f1f","On the Waterfront",1954,"https://www.rottentomatoes.com/m/on_the_waterfront",4,"99%","95%"
"178df329-0579-3001-a67c-3338c4381d3a","Moonlight",2016,"https://www.rottentomatoes.com/m/moonlight_2016",5,"98%","79%"
"dc41988b-1081-351f-b735-95ce61a8f5ad","Schindler's List",1993,"https://www.rottentomatoes.com/m/schindlers_list",6,"98%","97%"
"72619c50-e028-3cfe-ae53-6cb86204389c","It Happened One Night",1934,"https://www.rottentomatoes.com/m/it_happened_one_night",7,"98%","93%"
"06098bb8-1615-3526-8f8b-7d72dff39f4d","Rebecca",1940,"https://www.rottentomatoes.com/m/1017293-rebecca",8,"98%","92%"
"6d478192-b5bc-36ec-b3b3-e194ba4356a4","All Quiet on the Western Front",1930,"https://www.rottentomatoes.com/m/all_quiet_on_the_western_front",9,"98%","89%"
"180ea20c-fe9e-38af-b8a1-aa85697c157c","Sunrise",1927,"https://www.rottentomatoes.com/m/sunrise",10,"98%","92%"
"b8611440-e6ac-37f2-b68e-7f4a001fee09","Spotlight",2015,"https://www.rottentomatoes.com/m/spotlight_2015",11,"97%","93%"
"c411a440-12fb-3d4d-a25a-f1bd1e6d3a01","The Hurt Locker",2008,"https://www.rottentomatoes.com/m/the_hurt_locker",12,"96%","84%"
"5aa3be92-ee5f-3302-93a1-aba38151e6bc","The Godfather",1972,"https://www.rottentomatoes.com/m/the_godfather",13,"97%","98%"
"09291ad9-40e1-3e17-af71-e1dcafb81921","Annie Hall",1977,"https://www.rottentomatoes.com/m/annie_hall",14,"97%","92%"
"e6eb036c-963e-388d-bfa9-3969e9c0d252","The Best Years of Our Lives",1946,"https://www.rottentomatoes.com/m/best_years_of_our_lives",15,"97%","93%"
"4878b348-82c2-3107-8764-e102d7ff4b7d","All the King's Men",1949,"https://www.rottentomatoes.com/m/1000654-all_the_kings_men",16,"97%","78%"
"2f406d5d-ef7d-3cc2-b87d-9f07985d8a89","The Lost Weekend",1945,"https://www.rottentomatoes.com/m/lost_weekend",17,"97%","90%"
"b482178d-2077-304a-bb69-7437b4f8439d","Argo",2012,"https://www.rottentomatoes.com/m/argo_2012",18,"96%","90%"
"a0f4eb8f-d33c-38f7-84cf-d3bfc2ffc714","The Godfather, Part II",1974,"https://www.rottentomatoes.com/m/godfather_part_ii",19,"96%","97%"
"05f0371c-bf9c-3fc9-934d-1ddca6751b83","Unforgiven",1992,"https://www.rottentomatoes.com/m/1041911-unforgiven",20,"96%","93%"
"738ea3c9-4819-36af-b506-36955f7360b1","The Bridge on the River Kwai",1957,"https://www.rottentomatoes.com/m/bridge_on_the_river_kwai",21,"96%","93%"
"de778af0-f8bc-313f-80a4-a5331c1ff2e6","The French Connection",1971,"https://www.rottentomatoes.com/m/french_connection",22,"96%","87%"
"41168fc5-349b-349b-bb1c-cd2fa5e803b7","In the Heat of the Night",1967,"https://www.rottentomatoes.com/m/in_the_heat_of_the_night",23,"96%","92%"
"9dfc7761-bfe3-3f50-b01e-41224d4215b5","Marty",1955,"https://www.rottentomatoes.com/m/1013427-marty",24,"96%","87%"
